"filename", "language", "JSON", "Go", "Go Module File", "Makefile", "Markdown", "Go Checksum File", "JavaScript", "HTML", "Vue", "SVG", "JSON with Comments", "comment", "blank", "total"
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/src/components/tabs/SettingsTab.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/src/components/tabs/Tabs.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 1, 39
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/src/components/tabs/UsersTab.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/src/config.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/src/main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 16, 64
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/src/navigationHandler.js", "JavaScript", 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 23, 153
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/src/stores/app.js", "JavaScript", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 1, 39
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/src/stores/auth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"/home/karol/Desktop/Smuggr/Software/Net-Work/web/vite.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 4, 3, 48
"Total", "-", 1921, 2303, 90, 26, 54, 257, 471, 13, 721, 290, 20, 35, 888, 7089
